SourceFile,ByteOrderMark,CharacterSet,CodePage,CodeSize,CompanyName,CompObjUserType,CompObjUserTypeLen,Contributor,ContributorRole,CreateDate,Creation-date,Creator,CreatorFile-as,CreatorId,CreatorRole,Date,Description,DescriptionXmlns,Directory,Document-statisticCell-count,Document-statisticObject-count,Document-statisticTable-count,Editing-cycles,Editing-duration,EntryPoint,Error,ExifToolVersion,FileAccessDate,FileCreateDate,FileDescription,FileFlags,FileFlagsMask,FileModifyDate,FileName,FileOS,FilePermissions,FileSize,FileSubtype,FileType,FileTypeExtension,FileVersion,FileVersionNumber,Format,Generator,Guide,GuideReferenceHref,GuideReferenceTitle,GuideReferenceType,Identifier,IdentifierId,IdentifierScheme,ImageFileCharacteristics,ImageVersion,Initial-creator,InitializedDataSize,Language,LanguageCode,LastModifiedBy,LastPrinted,LegalCopyright,LineCount,LinkerVersion,MachineType,ManifestItemHref,ManifestItemId,ManifestItemMedia-type,ManifestItemProperties,Meta,MetaContent,MetaId,MetaName,MetaProperty,MetaRefines,MetaScheme,MIMEEncoding,MIMEType,ModificationDate,ModifyDate,Newlines,ObjectFileType,OSVersion,PEType,PreviewPNG,Print-date,Printed-by,ProductName,ProductVersion,ProductVersionNumber,PublicationDate,Publisher,RevisionNumber,Rights,Source,SourceId,SpineItemrefIdref,SpineItemrefLinear,SpinePage-progression-direction,SpineToc,Subject,Subsystem,SubsystemVersion,TemplateActuate,TemplateHref,TemplateTitle,TemplateType,TimeStamp,Title,TitleId,TotalEditTime,Tours,ToursTourId,ToursTourSiteHref,ToursTourSiteTitle,ToursTourTitle,Type,UninitializedDataSize,User-definedName,WordCount,ZoneIdentifier
JD_ROBB_Ceremony_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 05 - Ceremony in Death,"Robb, J. D.",,aut,1996:12:31 16:00:00+00:00,"<p class=""description"">Conducting a top secret investigation into the death of a fellow police officer has Lieutenant Eve Dallas treading on dangerous ground. She must put professional ethics before personal loyalties. But when a dead body is placed outside her home, Eve takes the warnning personally. With her husband, Roarke, watching her every move, Eve is drawn into the most dangerous case of her career. Every step she takes makes her question her own beliefs of right and wrong--and brings her closer to a confrontation with humanity's most seductive form of evil...</p>

<p>A secret investigation into the death of a fellow police officer has Eve Dallas treading on dangerous ground. Every step she takes brings her closer to a confrontation with humanity's most seductive form of evil.</p>

<span class=""synopsis"">Even in an age of cutting-edge technology, old beliefs die hard...<br>
<br>
Conducting a top secret investigation into the death of a fellow police 
officer has Lieutenant Eve Dallas treading on dangerous ground. She must
 put professional ethics personal loyalties. But when a dead body is 
placed outside her home, Eve takes the warning personally. With her 
husband, Roarke, watching her every move, Eve is drawn into the most 
dangerous case of her career. Every step she takes makes her question 
her own beliefs of right and wrong - and brings her closer to a 
confrontation with humanity's most seductive form of evil...</span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:29:22-05:00,JD_ROBB_Ceremony_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,409 kB,,EPUB,epub,,,,,,OEBPS/ceremonyindeath_contents.html,Table of Contents,toc,r/j-d-robb/ceremony-in-death,uuid_id,uuid,,,,,en,,,,,,,,OEBPS/GlobalBackad.html,GlobalBackad.html,application/xhtml+xml,,,Ceremony in Death,,calibre:title_sort,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin,,Copyright © 1997 by Nora Roberts.,,,titlepage,,,ncx,"Police Procedural, Police, Mystery & Detective, New York (N.Y.), Political, Police - New York (State) - New York, Fiction, Romantic Suspense Fiction, Mystery Fiction, Women Sleuths, Policewomen, Dallas; Eve (Fictitious Character)",,,,,,,,Ceremony in Death,,,,,,,,,,,,Exists
JD_ROBB_Chaos_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 33.50 - Chaos in Death,"Robb, J. D.",,aut,2010:12:31 16:00:00+00:00,"<font class=""Apple-style-span"" size=""3""><span class=""Apple-style-span"" style=""font-size: 13px;""><div><font class=""Apple-style-span"" size=""3""><span class=""Apple-style-span"" style=""font-size: 13px;""><br></span></font></div>Eve Dallas is the tough lieutenant hot on his trail, but this is unlike any case she's ever been assigned - or any killer she's ever pursued. A police sketch based on eye-witness testimony reveals the killer has green skin, swollen red eyes, goblin ears, and a dislocated jaw-structure that defies the human form. Is it a mask? Is it make-up? Or is the explanation more sinister? Dallas faces off against multiple suspects - all of them students of medicine capable of precisely slicing the ears, noses, and eyes of the three victims. But who had the motive? More importantly, what kind of rogue science are these healers practicing?</span></font>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:29:43-05:00,JD_ROBB_Chaos_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,316 kB,,EPUB,epub,,,,,,Text/robb_9781101544433_oeb_toc_r1.xhtml,Table of Contents,toc,r/j-d-robb/chaos-in-death,uuid_id,uuid,,,,,en,,,,,,,,Misc/page-template.xpgt,pt,application/vnd.adobe-page-template+xml,,,Chaos in Death,,calibre:title_sort,,,,,application/epub+zip,,,,,,,,,,,,,,Brilliance Corporation,,Collection copyright © 2011 by Penguin Group (USA) Inc.,,,titlepage,,,ncx,,,,,,,,,Chaos in Death,,,,,,,,,,,,Exists
JD_ROBB_Collection_Books_11-15_-_J_D_Robb.epub,,,,,,,,,,,,J. D. Robb,,,,,<p>More information to be announced soon on this forthcoming title from Penguin USA,http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:08:10-05:00,JD_ROBB_Collection_Books_11-15_-_J_D_Robb.epub,,-rw-rw-rw-,1518 kB,,EPUB,epub,,,,,,Contents.html,Table of Contents,toc,9781101539057,isbn_9781101539057,,,,,,en,,,,,,,,toc.ncx,ncx,application/x-dtbncx+xml,,,my-cover-image,,cover,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin Group US,,,,,my-html-cover,no,,ncx,,,,,,,,,"The In Death Collection, Books 11-15",,,,,,,,,,,,Exists
JD_ROBB_Collection_Books_21-25_-_J_D_Robb.epub,,,,,,,,,,,,J. D. Robb,,,,,<p>More information to be announced soon on this forthcoming title from Penguin USA,http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:17 23:59:06-05:00,JD_ROBB_Collection_Books_21-25_-_J_D_Robb.epub,,-rw-rw-rw-,1765 kB,,EPUB,epub,,,,,,OriginInDeath-toc.html,Table of Contents,toc,9781101562024,isbn_9781101562024,,,,,,en,,,,,,,,toc.ncx,ncx,application/x-dtbncx+xml,,,my-cover-image,,cover,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin Group US,,,,,my-html-cover,no,,ncx,,,,,,,,,"The In Death Collection, Books 21-25",,,,,,,,,,,,Exists
JD_ROBB_Collection_Books_26-29_-_J_D_Robb.epub,,,,,,,,J. D. Robb,,,,J. D. Robb,,,,2010:03:01,<p>More information to be announced soon on this forthcoming title from Penguin USA,,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:07:07-05:00,JD_ROBB_Collection_Books_26-29_-_J_D_Robb.epub,,-rw-rw-rw-,1932 kB,,EPUB,epub,,,,,,contents.html,Table of Contents,toc,9781101562062,isbn_9781101562062,,,,,,en,,,,,,,,toc.ncx,ncx,application/x-dtbncx+xml,,,my-cover-image,,cover,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin Group US,,Copyright © 2008 by Nora Roberts,,,my-html-cover,no,,ncx,,,,,,,,,"The In Death Collection, Books 26-29",,,,,,,,,,,,Exists
JD_ROBB_Collection_Books_30-32_-_J_D_Robb.epub,,,,,,,,,,,,J. D. Robb,,,,2010:03:01,<p>There is currently no description available for this title at this time.,,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:07:37-05:00,JD_ROBB_Collection_Books_30-32_-_J_D_Robb.epub,,-rw-rw-rw-,1384 kB,,EPUB,epub,,,,,,TOC.html,Table of Contents,toc,978-1-1011-8536-0,isbn_9781101185360,,,,,,en,,,,,,,,page-template.xpgt,pt,application/vnd.adobe-page-template+xml,,,my-cover-image,,cover,,,,,application/epub+zip,,,,,,,,,,,,,,Penguin Group US,,NONE,,,my-html-cover,no,,ncx,,,,,,,,,"The In Death Collection, Books 30-32",,,,,,,,,,,,Exists
JD_ROBB_Concealed_in_Death_-_J_D_Robb.epub,,,,,,,,calibre (4.3.0) [https://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2014:02:18 06:00:00+00:00,"<div>
<p><strong>Lieutenant Eve Dallas uncovers a conspiracy when she investigates the murders of some of New York City's troubled youth in this thriller in the #1 </strong><span style=""font-weight: 600; font-style: italic"">New York Times</span><strong> bestselling In Death series.</strong> </p>
<p>Leading the demolition of a long-empty New York building that once housed a makeshift shelter for troubled teenagers, Lieutenant Eve Dallas’s husband uncovers two skeletons wrapped in plastic. And by the time Eve’s done with the crime scene, there are twelve murders to be solved. </p>
<p>The victims are all young girls. A tattooed tough girl who dealt in illegal drugs. The runaway daughter of a pair of well-to-do doctors. They all had their stories. And they all lost their chance for a better life. </p>
<p>Then Eve discovers a connection between the victims and someone she knows. And she grows even more determined to reveal the secrets of the place that was called The Sanctuary—and the evil concealed in one human heart. </p>
<p>**</p>
<p><strong style=""font-size: large"">From Booklist</strong> </p>
<p>The rundown building has good bones. That is exactly why Roarke bought it. The problem is the building has some real bones in it as well. While breaking through an interior wall to kick off the renovation, Roarke discovers bones wrapped in plastic. A quick call to his wife, Lieutenant Eve Dallas of the New York Police and Security Department, brings Eve and her team to the site. Eventually, 12 bodies are found in the building. With the help of the department’s new forensic anthropologist, Eve is able to pinpoint the time of the murders to 15 years earlier when the building served as the Sanctuary, a shelter for troubled and/or homeless teens. When Eve begins tracing the lives of each of the young girls who died there, she not only finds herself tracking a killer, but she also discovers a startling connection between the crimes and someone in her own life. The latest nail-biting installment in Robb’s long-running Eve Dallas series features the same skillfully drawn ­characters and masterful way with suspense that have ensnared readers since Naked in Death (1995). --John Charles </p>
<h3><strong style=""font-size: large"">Review</strong> </h3>
<p>“The latest nail-biting installment in Robb’s long-running Eve Dallas series features the same skillfully drawn ­characters and masterful way with suspense that have ensnared readers since <em>Naked in Death</em>.”—<em>Booklist</em><br><br>“The newest cases for dogged police Lt. Eve Dallas to solve are getting colder...There is a layer of poignancy to this tale that adds depth to this intriguing procedural. You can never go wrong with a Robb book!”—<em>RT Book Reviews</em> <strong><br><br>More Praise for the In Death series</strong><br><br>“Robb is a virtuoso.”—<em>Seattle Post-Intelligencer</em><br><br>“It’s <em>Law &amp; Order: SVU</em>—in the future.”—<em>Entertainment Weekly</em><br><br>“J. D. Robb’s In Death novels are can’t-miss pleasures.”—#1 <em>New York Times</em> bestselling author Harlan Coben <br><br>“Anchored by terrific characters, sudden twists that spin the whole narrative on a dime, and a thrills-to-chills ration that will raise the neck hairs of even the most jaded reader, the J. D. Robb books are the epitome of great popular fiction.”—<em>New York Times</em> bestselling author Dennis Lehane<br><br><br><em>From the Paperback edition.</em>  </p>
<h3><strong style=""font-size: large"">About the Author</strong> </h3>
<p><strong>J. D. Robb</strong> is the pseudonym for a #1 <em>New York Times</em> bestselling author of more than 200 novels, including the bestselling In Death series. There are more than 500 million copies of her books in print.</p></div>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:22:00-05:00,JD_ROBB_Concealed_in_Death_-_J_D_Robb.epub,,-rw-rw-rw-,817 kB,,EPUB,epub,,,,,,Text/part0005.xhtml,Start,text,B00DGZKJ9I,uid,calibre,,,,,en,,,,,,,,Images/cover.jpeg,cover,image/jpeg,,,utf-8,,output encoding,,,,,application/epub+zip,,,,,,,,,,,,,,Berkley,,,9780399164439,,titlepage,,,ncx,"Mystery, Romance, Suspense, Science Fiction, Thriller",,,,,,,,Concealed in Death,,,"
    ",,,,,,,,,Exists
JD_ROBB_Connections_in_Death_-_JD_Robb.epub,,,,,,,,calibre (3.45.0) [https://calibre-ebook.com],bkp,,,J. D. Robb,"Robb, J. D.",,aut,2019:02:05 08:00:00+00:00,"<div><p><strong>In this gritty and gripping new novel in the #1 <em>New York Times</em> bestselling series, Eve Dallas fights to save the innocent―and serve justice to the guilty―on the streets of New York.</strong>  </p>
<hr>
<p>****Homicide cop Eve Dallas and her billionaire husband, Roarke, are building a brand-new school and youth shelter. They know that the hard life can lead kids toward dangerous crossroads―and with this new project, they hope to nudge a few more of them onto the right path. For expert help, they hire child psychologist Dr. Rochelle Pickering―whose own brother pulled himself out of a spiral of addiction and crime with Rochelle’s support. </p>
<p>Lyle is living with Rochelle while he gets his life together, and he’s thrilled to hear about his sister’s new job offer. But within hours, triumph is followed by tragedy. Returning from a celebratory dinner with her boyfriend, she finds Lyle dead with a syringe in his lap, and Eve’s investigation confirms that this wasn’t just another OD. After all his work to get clean, Lyle’s been pumped full of poison―and a neighbor with a peephole reports seeing a scruffy, pink-haired girl fleeing the scene.</p>
<p>Now Eve and Roarke must venture into the gang territory where Lyle used to run, and the ugly underground world of tattoo parlors and strip joints where everyone has taken a wrong turn somewhere. They both believe in giving people a second chance. Maybe even a third or fourth. But as far as they’re concerned, whoever gave the order on Lyle Pickering’s murder has run out of chances…</p>
<p>**</p></div>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:30:29-05:00,JD_ROBB_Connections_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,510 kB,,EPUB,epub,,,,,,Text/part0029.html#RL0A0-4533bdd56bfc4d0580b9a03ae0b1b24a,Table of Contents,toc,sV0gtwEACAAJ,uuid_id,uuid,,,,,en,,,,,,,,Text/titlepage.xhtml,titlepage,application/xhtml+xml,,,2019:02:04 11:30:09.437000+00:00,,calibre:timestamp,,,,,application/epub+zip,,,,,,,,,,,,,,St. Martin's Press,,All rights reserved,,,titlepage,,ltr,ncx,"Fiction, Mystery & Detective, Police Procedural, Romance, Suspense, Thrillers, Crime, Women Sleuths",,,,,,,,Connections in Death: An Eve Dallas Novel,,,,,,,,,,,,Exists
JD_ROBB_Conspiracy_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 08 - Conspiracy in Death,"Robb, J. D.",,aut,1998:12:31 16:00:00+00:00,"<div><h3>Amazon.com Review</h3><p>Streetwise cop Eve Dallas and her trusty sidekick Peabody face a methodical killer in this latest addition to the In Death series by J.D. Robb, better known as the bestselling author Nora Roberts.</p><p>In the late 21st century, on the streets of New York City, a street sleeper is found murdered, his diseased heart removed with surgical precision. His death would typically drop to the bottom of a list of senseless and inexplicable killings, but Lieutenant Dallas, who ""would stand for the dead and the living,"" is not about to let that happen. When her research uncovers similar crimes in several cities that were dropped under mysterious circumstances, Dallas knows she's facing a killer cruel enough to prey on the weakest in society and powerful enough to conspire an extensive coverup.</p><p>To complicate matters further, Dallas faces an equally troubling threat to her career when she's linked to the death of a fellow cop. Now she must fight to restore her good name as well as track down the killer.</p><p>In <em>Conspiracy in Death</em>, Roberts creates a futuristic world of evil that Eve Dallas negotiates through tough talk and brute force. While Robb crafts the crimes with great care, she assumes a familiarity with the characters that new readers will lack. But fans of the In Death series and newcomers alike will enjoy the thrill of the chase as Eve Dallas sets out to get her man. <em>--Nancy R.E. O'Brien</em></p><h3>From Publishers Weekly</h3><p>""For some, death wasn't the enemy. Life was a much less merciful opponent."" So opens the eighth and latest installment (following Holiday in Death) in Robb's (a.k.a. Nora Roberts's) futuristic crime drama series. Moody, angst-ridden Lieutenant Eve Dallas investigates a series of ""sidewalk sleeper"" murders. The medically skilled killer is harvesting defective human organs from New York City's homeless population. When Eve gets too close to solving the crime, she becomes the prime suspect in the death of a fellow cop and loses her badge, which nearly destroys her emotionally. But this feisty heroine isn't down for long; she rallies and returns to form as the maverick cop readers know and love. Followers of the Death series will see a slight softening in Eve's character as she puzzles over a pregnant womanAa possible nod toward the end of this series (Loyalty in Death will follow this title). Until then, Robb has once again delivered an engrossing, first-rate read. <br>Copyright 1999 Reed Business Information, Inc. </p></div>

<span class=""synopsis"">At a time when human nature remains as predictable as death, a killer plays God - and puts innocent lives in the palm of his hand....<br> <br> It was always a shock, not the hard one Bowers had hoped for. Eve had seen too much for that. But what one human could do to another was never routine for her. With the precision of a surgeon, a serial killer preys on the most vulnerable of souls of the world's city streets. The first victim: a homeless person, found dead in New York City. No bruises, no signs of a struggle. Just a laser-perfect, fist-sized hole where his heart had once been. Detective Eve Dallas is assigned to investigate. But as she is lured in to a cat-and-mouse game with the killer, Dallas also becomes the focus of an internal investigation. In her mind, Eve feels she has done nothing except irritate some fellow cops with connections in high places. But her struggle to bring a murderer to justice is about to be hindered by the fight to save her career. Now her hands are tied... between a struggle for justice - and a fight for her career....</span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:30:50-05:00,JD_ROBB_Conspiracy_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,555 kB,,EPUB,epub,,,,,,../titlepage.xhtml,Cover,cover,r/j-d-robb/conspiracy-in-death,uuid_id,uuid,,,,,en,,,,,,,,Text/CONSPIRACYINDEATH_full-body_10.html,a10,application/xhtml+xml,,,Conspiracy in Death,,calibre:title_sort,,,,,application/epub+zip,2013:09:24,,,,,,,,,,,,,Thorndike Pr,,Copyrights as per source stories,,,titlepage,,,ncx,"Police, Dallas, Police - New York (State) - New York, Fiction, Mystery Fiction, Women Sleuths, Mystery & Detective - Women Sleuths, Eve (Fictitious character), New York (N.Y.), Policewomen, Dallas; Eve (Fictitious Character), Large Type Books, Mystery, Police Procedural, Detective, Mystery & Detective, American Mystery & Suspense Fiction, Fiction - Mystery, New York, Suspense, Mystery & Detective - Police Procedural, New York (State)",,,,,,,,Conspiracy in Death,,,,,,,,,,,,Exists
JD_ROBB_Creation_in_Death_-_JD_Robb.epub,,,,,,,,calibre (2.0.0) [http://calibre-ebook.com],bkp,,,J. D. Robb - In Death 25 - Creation in Death,"Robb, J. D.",,aut,2007:11:05 16:00:00+00:00,"<div><h3>From Publishers Weekly</h3><p>At 27 books and counting, Nora Roberts is more prolific under her Robb pseudonym than most authors manage in a single career. Yet the latest in her not-so-near-future detective series featuring New York Police Det. Eve Dallas offers a satisfyingly novel mélange of suspense, sex, forensics and heroics. It's 2060, and the serial killer nicknamed The Groom is back in town after an absence of nine years, resuming his horrific run of kidnapping, torturing and killing young women. Dallas, who served as a detective in the frustrating first investigation, assumes lead role in this one. This time, not only do the killer's chosen victims have ties to Dallas's husband, Roarke, but Dallas herself may be the killer's ultimate target. Swiftly paced, the story cuts frequently from the investigation to the killer's progress with his victims. Dallas works to outplan, outfight and outsmart the killer; to keep her handsome, rich husband happy; and to be ready for the next round after a good night's sleep. Robb's latest is bound to please Dallas fans. <em>(Nov.)</em> <br>Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved. </p><h3>Review</h3><p>All the elements of a terrific police procedural coupled with gut- searing emotional drama and in-your-face characters that only a writer of Nora Roberts' caliber can deliver. <br>— David Baldacci<br></p><p>Whether she writes as J.D. Robb or under her own name, I love Nora Roberts. She is a woman who just doesn’t know how to tell a bad story. Creation in Death is an authentic page turner, with Eve Dallas—tough as nails and still sexy as hell—pitted against one of the year’s creepiest super villains. If you haven’t read Robb, this is a great place to start. <br>— Stephen King<br></p><p>""Anchored by terrific characters, sudden twists that spin the whole narrative on a dime, and a thrills-to-chills ratio that will raise the neck hairs of even the most jaded reader, the J.D. Robb books are the epitome of great popular fiction."" <br>—Dennis Lehane<br></p><p>“There's no such thing as too much Nora Roberts. All the books are good, and they keep getting better. Creation in Death, written in her J.D. Robb persona, is a complete pleasure. Wonderful!” <br>—Robert B. Parker<br></p><p>“Compelling characters, absorbing mysteries and a wonderful sense of both time and place, JD Robb's ""In Death"" novels are can't-miss pleasures.”<br>—Harlan Coben<br></p><p>“Creation in Death is a witty, dark, page-turning tale of futuristic crime fighting. Raymond Chandler meets Blade Runner meets Silence of the Lambs. The techno-toys may change, but evil never does.”<br>—Jonathan Kellerman<br></p><p>“J.D. Robb (you-know-who!) has written a taut, nerve-jangling, thriller that draws the reader in from the start and rolls you over the dancing ball bearings of a futuristic police procedural that moves seamlessly and unrelentingly forward. The quality of the prose and the sharpness of the dialogue will delight and even surprise the reader. I know it did me. AS IF she needed it: but now she has yet another loyal fan.” <br>—Ridley Pearson<br></p></div>

<span id=""freeText16230832450576044114"" style="""">Eve has seen this crime scene before: the artfully arranged body of a young brunette, arms spread, palms up, body marked by the signs of prolonged and painful torture. Carved into her torso is the time it took her to die—in hours, minutes, and seconds. And on the third finger of her left hand has been placed a silver ring. Eve is catapulted back to a case nine years earlier, when a man whom the media tagged —The Groom— put the city on edge with a killing spree that took the lives of four women in fifteen days. Eve and her partner Feeney, her friend and mentor, couldn't stop him before he disappeared, only to resurface in other parts of the world to kill and kill again. But now The Groom seems to have come back to where he started. <br><br>When it turns out that The Groom's most recent victim was employed by Eve's billionaire husband, Roarke, she brings him into the case. A move that proves fitting when it becomes chillingly clear that the killer has made it personal. The corpse was washed in products from a store Roarke owns and laid out on a sheet his company manufactures. With the Groom's monstrous return, Eve is determined to finish him once and for all. Familiar with his methods, she knows that he has already grabbed his next victim. But his sights are set on the biggest challenge of his illustrious career—an abduction that will test his skills and that promises to give him satisfaction as he's never known. Time is running out on another woman's life—and for Eve.<a class=""actionLinkLite"" href=""http://www.goodreads.com/book/show/1566705.Creation_in_Death#""></a></span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:31:10-05:00,JD_ROBB_Creation_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,500 kB,,EPUB,epub,,,,,,Text/creationindeath_contents.html,Table of Contents,toc,{EBBD86BD-26CE-4C00-8D62-0FF18E0A7390},uuid_id,uuid,,,,,en,,,,,,,,Text/GlobalBackad.html,GlobalBackad.html,application/xhtml+xml,,,Creation in Death,,calibre:title_sort,,,,,application/epub+zip,2013:09:25,,,,,,,,,,,,,Penguin,,Copyright © 2007 by Nora Roberts,,,titlepage,,,ncx,"Mystery, Police Procedural, Detective and Mystery Stories, Police, Serial Murders, New York (N.Y), Mystery & Detective, New York (N.Y.), Police - New York (State) - New York, Policewomen, New York, Mystery Fiction, Dallas; Eve (Fictitious Character), General, Large Type Books, New York (State), Fiction, Women Sleuths",,,,,,,,Creation in Death,,,,,,,,,,,,Exists
JD_ROBB_Dark_in_Death_-_JD_Robb.epub,,,,,,,,,,,,J. D. Robb,,creator,,,"<p><b>Lieutenant Eve Dallas returns in the new novel by the #1 <i>New York Times</i> bestselling master of suspense, and takes on a case of death imitating art...</b><br><b></b><br>It was a stab in the dark.</p><p>On a chilly February night, during a screening of <i>Psycho</i> in midtown, someone sunk an ice pick into the back of Chanel Rylan's neck, then disappeared quietly into the crowds of drunks and tourists in Times Square. To Chanel's best friend, who had just slipped out of the theater for a moment to take a call, it felt as unreal as the ancient black-and-white movie up on the screen. But Chanel's blood ran red, and her death was anything but fictional.</p><p>Then, as Eve Dallas puzzles over a homicide that seems carefully planned and yet oddly personal, she receives a tip from an unexpected source: an author of police thrillers who recognizes the crime&#8212;from the pages of her own book. Dallas doesn't think it's coincidence, since a recent strangulation of a sex...",http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:25:26-05:00,JD_ROBB_Dark_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,3.7 MB,,EPUB,epub,,,,,,xhtml/cover.xhtml,Cover Image,cover,9781250161550,pub-id,,,,,,en-US,,,,,,,,nav.xhtml,nav,application/xhtml+xml,nav,2017:10:26 20:48:50Z,cover-image,auth,cover,dcterms:modified,,,,application/epub+zip,,,,,,,,,,,,,,St. Martin's Press,,All rights reserved,,,html-cover-page,no,ltr,toc,,,,,,,,,Dark in Death,title,,,,,,,,,,,Exists
JD_ROBB_Delusion_in_Death_-_JD_Robb.epub,,,,,,,,calibre (0.8.67) [http://calibre-ebook.com],bkp,,,J D Robb,"Robb, J D",,aut,2012:09:10 22:00:00+00:00,"<span class=""Apple-style-span"" style=""font-family: 'MS Shell Dlg 2'; "">'What would cause someone to want so many people, surely many of them strangers, to slaughter each other?' The scene that greets Lieutenant Eve Dallas and her team one terrible evening in New York is more shocking than any of them have ever witnessed. The usually comfortable downtown bar is strewn with bodies - office workers who have been sliced, bludgeoned or hacked to death with the nearest weapon available. It appears they all turned on each other in a desperate blinding rage. As Eve and her husband Roarke - who owned the bar among his many properties - investigate the big-business workers of the city, they link the attacks back to the Urban Wars and the chemical warfare used all those years ago. With another slaughter imminent, Eve must turn to unexpected sources in order to stop a killer who is getting revenge by creating mass carnage...</span>",,.,,,,,,,,12.93,2024:12:18 01:49:48-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:31:33-05:00,JD_ROBB_Delusion_in_Death_-_JD_Robb.epub,,-rw-rw-rw-,337 kB,,EPUB,epub,,,,,,text/part0005.html#p1,start,text,3f0090fc-e8bb-46fe-9e2f-12e70178f478,uuid_id,ISBN,,,,,en,,,,,,,,cover.jpeg,cover,image/jpeg,,,35.0,,calibre:series_index,,,,,application/epub+zip,,,,,,,,,,,,,,Hachette Littlehampton,,,,,titlepage,,,ncx,,,,,,,,,Delusion in Death,,,,,,,,,,,,Exists
JD_ROBB_Desperation_in_Death_-__JD_Robb_.epub,,,,,,,,,,,,J. D. Robb,,creator,,,"<p><b>The #1 <i>New York Times</i> bestselling author presents a gripping new thriller that pits homicide detective Eve Dallas against a conspiracy of exploitation and evil...</b><br>New York, 2061: The place called the Pleasure Academy is a living nightmare where abducted girls are trapped, trained for a life of abject service while their souls are slowly but surely destroyed. Dorian, a thirteen-year-old runaway who'd been imprisoned there, might never have made it out if not for her fellow inmate Mina, who'd hatched the escape plan. Mina was the more daring of the two&#8212;but they'd been equally desperate. <br>Unfortunately, they didn't get away fast enough. Now Dorian is injured, terrified, and wandering the streets of New York, and Mina lies dead near the waterfront while Lt. Eve Dallas looks over the scene.<br>Mina's expensive, elegant clothes and beauty products convince Dallas that she was being groomed, literally and figuratively, for sex trafficking&#8212;and that...",http://purl.org/dc/elements/1.1/,.,,,,,,,,12.93,2024:12:18 01:36:49-05:00,2024:12:18 01:36:49-05:00,,,,2024:12:18 00:19:25-05:00,JD_ROBB_Desperation_in_Death_-__JD_Robb_.epub,,-rw-rw-rw-,5.3 MB,,EPUB,epub,,,,,,xhtml/cover.xhtml,Begining,start,9781250278241,uid,,,,,,en-US,,,,,,,,nav.xhtml,nav,application/xhtml+xml,nav,main,cover-image,auth,cover,title-type,#title,onix:codelist5,,application/epub+zip,,,,,,,,,,,,,,St. Martin's Publishing Group,,All rights reserved,urn:isbn:9781250278234,src-id,html-cover-page,no,ltr,toc,,,,,,,,,Desperation in Death--An Eve Dallas Novel,title,,,,,,,,,,,Exists
